m1a2;t2
16;167
333;473
654;793
977;1121
1294;1435
1611;1758
1923;2066
2235;2378
2546;2686
2860;2997
3174;3321
3488;3630
3796;3910
4100;4224
4401;4520
4701;4846
4997;5131
5287;5454
5571;5712
5856;5974
6154;6273
6456;6604
6742;6888
7044;7193
7378;7538
7860;8014
8241;8401
8585;8741
8898;9046
9207;9350
9530;9678
9932;10082
10278;10426
10602;10747
10911;11063
11221;11369
11545;11690
11881;12028
12194;12338
12508;12660
12823;12966
13175;13324
13522;13666
13863;14016
14176;14326
14477;14620
14774;14919
15089;15234
15462;15617
15863;16007
16246;16408
16605;16763
16935;17082
17254;17401
17562;17714
17865;18008
18162;18307
18457;18596
18757;18903
19070;19215
19423;19570
19837;19967
20211;20363
20575;20720
20916;0
