m1a2;t2
174;746
1579;2151
3090;3668
4473;5042
6151;6810
8006;8601
9692;10290
11204;11782
12673;13284
14314;14850
15916;16530
17335;17970
18675;19256
20098;20685
22257;22845
24152;24747
25872;26471
27421;28015
28942;29542
30673;31279
32497;33096
34316;34921
35950;36545
37472;38070
39035;39652
41076;41696
42913;43524
44578;45188
46126;46741
47735;48359
49388;49994
51094;51709
52577;53221
53960;54564
55311;55939
57103;57728
58884;59485
60676;61285
62427;63036
64054;64667
65626;66232
67184;67784
68662;69248
70072;70679
71489;72098
72882;73474
74348;74940
76297;76928
77992;78635
79670;80285
81296;81908
82828;83453
84386;85019
86055;86740
88465;89128
90595;91211
92564;93200
94422;95047
96089;96720
97504;98141
98806;99435
1.0008e+05;1.0071e+05
1.0138e+05;1.0201e+05
1.0258e+05;1.0323e+05
1.0382e+05;1.0448e+05
1.0594e+05;1.066e+05
1.079e+05;1.0855e+05
