m1a2;t2
75;210
390;525
708;849
1016;1154
1336;1478
1674;1817
2185;2329
2606;2748
2973;3110
3310;3444
3630;3752
3946;4080
4310;4450
4706;4850
5079;5219
5436;5582
5771;5913
6109;6255
6638;6783
7077;7226
7460;7619
7820;7970
8172;8322
8520;8665
9039;9189
9472;9623
9857;10008
10216;10361
10581;10725
10980;11131
11400;11549
11828;11977
12238;12389
12634;12784
13006;13152
13367;13516
13710;13856
14044;14187
14383;14532
14720;14869
15056;15199
15387;15531
15708;15854
16025;16169
16334;16483
16639;16786
16945;17088
17249;17393
17546;17689
17844;17988
18149;18298
18459;18620
18946;19100
19332;19487
19817;19970
20262;20417
20675;20831
21035;21187
21370;21522
21707;21854
22187;22347
22644;22798
23092;23250
23475;23629
23845;23999
24197;24350
24541;24694
24900;25058
25309;25465
25704;25850
26077;26224
26480;26635
26880;27050
27253;0
