m1a2;t2
172;317
506;653
862;1012
1220;1373
1574;1724
1909;2061
2243;2386
2586;2727
2950;3100
3328;3476
3724;3872
4119;4268
4490;4640
4855;5010
5222;5355
5600;5748
5981;6126
6369;6513
6753;6911
7107;7258
7460;7605
7809;7953
8174;8319
8550;8702
8938;9090
9319;9468
9675;9836
10019;10171
10356;10503
10703;10847
11075;11224
11454;11601
11839;11989
12202;12351
12540;12689
12872;13023
13205;13354
13560;13710
13948;14095
14342;14493
14737;14892
15101;15252
15450;15601
15786;15932
16116;16266
16458;16606
16818;16970
17188;17336
17564;17715
17941;18097
18314;18466
18690;18835
19062;19211
19426;19583
19789;19932
20151;20304
20512;20663
20870;21017
21230;21379
21593;21738
21953;22106
22303;22443
22655;22804
23006;23153
23352;23496
23704;23862
24063;24212
24435;24580
24799;24953
25165;25316
25513;25663
25849;26000
26162;26308
26468;26603
26775;0
