m1a2;t2
122;745
1400;2022
2666;3288
3915;4541
5136;5761
6355;6982
7596;8219
8910;9536
10324;10953
11763;12393
13122;13751
14430;15059
15730;16360
17033;17658
18359;18987
19688;20314
20986;21611
22232;22856
23480;24105
24740;25361
26011;26632
27309;27935
28611;29234
29878;30503
31137;31759
32413;33040
33695;34319
35024;35643
36366;36998
37667;38298
38935;39560
40232;40858
41529;42154
42849;43477
44170;44793
45451;46073
46727;47349
47989;48612
49257;49881
50540;51164
51823;52446
53072;53694
54329;54955
55592;56217
56864;57485
58158;58779
59445;60066
60718;61347
61984;62605
63259;63884
64529;65156
65810;66431
67101;67722
68377;69001
69620;70246
70860;71485
72100;72722
73347;73969
74593;75213
75842;76462
77059;77679
78261;78882
79466;80087
80678;81296
81926;82541
83205;83827
84468;85091
85699;86317
86935;87556
88172;88796
89406;90025
90637;91254
91846;92464
93030;93649
94221;94839
95412;96030
96622;97238
97854;98472
99060;99677
1.0027e+05;1.0089e+05
1.015e+05;1.0212e+05
1.0274e+05;1.0336e+05
1.0399e+05;1.0461e+05
1.0524e+05;1.0586e+05
1.0645e+05;1.0707e+05
1.0765e+05;1.0827e+05
1.0885e+05;1.0946e+05
1.1003e+05;0
