m1a2;t2
260;834
1325;1895
2379;2938
3430;4001
4501;5070
5604;6168
6738;7331
7843;8414
8927;9507
10014;10588
11132;11714
12293;12872
13471;14052
14622;15200
15739;16316
16835;17410
17934;18515
19044;19616
20155;20744
21247;21834
22329;22904
23418;23999
24563;25140
25776;26360
27035;27624
28251;28841
29426;30022
30586;31173
31743;32334
32930;33520
34129;34720
35298;35890
36430;37023
37554;38144
38667;39254
39796;40389
40876;41453
41938;42509
42997;43576
44055;44639
45116;45698
46178;46766
47247;47826
48344;48927
49471;50063
50599;51195
51700;52285
52794;53386
53891;54476
55004;55591
56138;56728
57264;57854
58374;58961
59478;60065
60582;61171
61727;62315
62897;63495
64058;64650
65200;65799
66334;66936
67480;68072
68641;69232
69813;70405
70970;71566
72109;72699
73244;73848
74394;74995
75582;76178
76800;77393
77980;78578
79138;79731
80282;80884
81441;82042
82611;83206
83788;84399
84939;85538
86081;86682
87220;87815
88359;88957
89521;90119
90685;91285
91824;92436
92969;93566
94128;94731
95328;95933
96574;97174
97801;98416
99000;99606
1.002e+05;1.008e+05
1.014e+05;1.02e+05
1.0262e+05;1.0322e+05
1.0386e+05;1.0448e+05
1.0509e+05;1.057e+05
1.0628e+05;1.0689e+05
1.0746e+05;1.0806e+05
1.0862e+05;1.0924e+05
1.0981e+05;1.104e+05
