m1a2;t2
305;940
1673;2303
3052;3685
4403;5032
5693;6318
7003;7636
8319;8950
9660;10290
11041;11675
12408;13039
13725;14353
15015;15645
16314;16942
17622;18249
18962;19595
20303;20936
21633;22262
22918;23545
24189;24821
25457;26084
26727;27356
28028;28655
29354;29985
30671;31298
31973;32610
33231;33852
34472;35099
35724;36351
37004;37638
38394;39028
39850;40484
41318;41954
42731;43358
44084;44713
45449;46085
46792;47423
48130;48759
49479;50110
50810;51444
52090;52723
53373;54005
54676;55310
55990;56624
57342;57974
58686;59317
59982;60608
61231;61860
62490;63122
63746;64377
65011;65637
66289;66912
67568;68198
68806;69426
70029;70657
71263;71894
72501;73126
73751;74376
75025;75651
76294;76912
77537;78165
78793;79425
80067;80694
81349;81974
82625;83254
83876;84501
85098;85718
86311;86937
87522;88147
88753;89379
90024;90646
91339;91966
92607;93232
93849;94478
95087;95714
96328;96952
97594;98219
98878;99502
1.0017e+05;1.0079e+05
1.0143e+05;1.0206e+05
1.027e+05;1.0333e+05
1.0398e+05;1.0462e+05
1.0529e+05;1.0591e+05
1.0662e+05;1.0725e+05
1.0797e+05;1.086e+05
1.0929e+05;0
