m1a2;t2
265;799
1255;1788
2284;2823
3329;3860
4371;4915
5397;5940
6415;6961
7428;7966
8480;9031
9537;10071
10592;11134
11627;12173
12653;13198
13688;14231
14753;15303
15825;16368
16873;17415
17899;18441
18925;19470
19982;20529
21056;21603
22143;22688
23214;23770
24278;24830
25344;25889
26447;27000
27582;28135
28691;29236
29775;30334
30854;31413
31940;32497
33060;33614
34207;34764
35326;35888
36437;36999
37556;38113
38725;39286
39912;40478
41068;41630
42195;42767
43314;43879
44462;45033
45630;46203
46793;47357
47931;48502
49045;49618
50170;50742
51335;51910
52552;53125
53755;54333
54938;55516
56107;56682
57287;57861
58508;59087
59751;60331
60945;61534
62104;62689
63262;63838
64449;65032
65670;66249
66882;67477
68067;68654
69245;69830
70441;71027
71685;72270
72954;73541
74180;74775
75364;75955
76557;77154
77769;78357
79014;79609
80240;80830
81436;82031
82614;83207
83802;84391
85027;85621
86294;86893
87527;88127
88727;89327
89919;90518
91124;91718
92368;92970
93633;94239
94845;95449
96027;96637
97213;97817
98427;99026
99715;1.0031e+05
1.0102e+05;1.0163e+05
1.0227e+05;1.0288e+05
1.0349e+05;1.0409e+05
1.0472e+05;1.0533e+05
1.0598e+05;1.0659e+05
1.0728e+05;1.0789e+05
1.0856e+05;1.0917e+05
1.0979e+05;0
