m1a2;t2
328;951
1681;2297
2979;3598
4274;4896
5569;6191
6887;7511
8206;8829
9514;10135
10773;11388
12023;12645
13276;13898
14528;15147
15772;16391
17021;17641
18274;18891
19496;20113
20736;21354
21985;22606
23247;23865
24538;25157
25837;26459
27091;27705
28322;28941
29570;30191
30819;31436
32095;32712
33384;33998
34673;35292
35910;36521
37116;37729
38332;38949
39549;40168
40788;41407
42078;42700
43406;44026
44700;45318
45968;46585
47256;47878
48535;49154
49819;50440
51104;51721
52369;52990
53603;54217
54797;55413
55992;56611
57184;57805
58399;59013
59661;60278
60930;61552
62168;62780
63385;64003
64615;65235
65848;66468
67089;67707
68331;68949
69558;70174
70741;71354
71919;72533
73093;73710
74264;74879
75444;76056
76621;77231
77796;78404
78949;79556
80089;80697
81229;81840
82370;82979
83522;84133
84708;85318
85905;86519
87088;87696
88261;88873
89437;90051
90623;91241
91828;92443
93042;93654
94262;94877
95456;96064
96628;97241
97822;98439
99038;99655
1.0029e+05;1.0091e+05
1.0161e+05;1.0223e+05
1.0294e+05;1.0356e+05
1.0425e+05;1.0486e+05
1.0551e+05;1.0612e+05
1.0676e+05;1.0738e+05
1.08e+05;1.0862e+05
1.0924e+05;1.0986e+05
1.1049e+05;0
