m1a2;t2
388;1010
1731;2356
3082;3701
4423;5043
5779;6404
7147;7771
8463;9085
9721;10347
10985;11602
12255;12871
13559;14181
14919;15540
16305;16927
17636;18260
18918;19535
20203;20824
21481;22113
22779;23403
24093;24711
25411;26028
26676;27294
27935;28552
29200;29826
30471;31089
31773;32395
33095;33717
34375;34989
35625;36241
36879;37510
38128;38748
39371;39994
40608;41229
41835;42452
43025;43636
44206;44822
45387;45996
46579;47191
47842;48461
49174;49792
50505;51124
51799;52417
53044;53656
54283;54899
55516;56138
56765;57386
58046;58662
59346;59967
60613;61228
61844;62461
63093;63713
64335;64952
65593;66213
66843;67462
68089;68705
69300;69915
70492;71116
71685;72298
72896;73512
74167;74782
75547;76166
76983;77610
78345;78967
79694;80315
81045;81665
82378;83002
83677;84297
84948;85568
86194;86810
87428;88045
88663;89283
89895;90513
91141;91756
92404;93027
93676;94296
94933;95551
96183;96793
97451;98071
98735;99351
1.0003e+05;1.0065e+05
1.0134e+05;1.0197e+05
1.0263e+05;1.0326e+05
1.0388e+05;1.0449e+05
1.0514e+05;1.0576e+05
1.0639e+05;1.0702e+05
1.0768e+05;0
