m1a2;t2
99;725
1396;2023
2678;3304
3922;4548
5177;5806
6459;7093
7773;8404
9111;9740
10425;11054
11685;12308
12931;13561
14174;14803
15421;16050
16692;17317
17983;18613
19240;19855
20458;21085
21687;22315
22925;23556
24189;24816
25512;26137
26833;27460
28118;28743
29373;30001
30631;31260
31906;32535
33189;33817
34457;35085
35666;36286
36831;37446
37978;38598
39122;39740
40331;40947
41739;42377
43214;43838
44575;45201
45998;46635
47389;48034
48746;49382
50035;50665
51275;51907
52455;53084
53626;54255
54780;55400
55921;56542
57066;57681
58215;58829
59377;59991
60537;61153
61693;62308
62850;63463
63995;64614
65139;65753
66272;66880
67396;68012
68515;69126
69638;70248
70759;71369
71879;72491
73031;73648
74194;74816
75394;76024
76571;77183
77840;78474
79062;79682
80278;80903
81508;82143
82761;83393
84066;84695
85400;86030
86633;87253
87828;88447
89015;89641
90212;90840
91430;92055
92671;93300
93894;94513
95090;95635
96270;96890
97456;98082
98658;99278
99886;1.005e+05
1.0115e+05;1.0176e+05
1.0238e+05;1.0299e+05
1.0359e+05;1.042e+05
1.0478e+05;1.054e+05
1.06e+05;1.0662e+05
1.0724e+05;1.0785e+05
1.0853e+05;1.0915e+05
1.0984e+05;0
