m1a2;t2
167;806
1543;2180
2846;3478
4097;4724
5330;5963
6546;7171
7752;8376
8989;9613
10252;10874
11474;12094
12701;13331
13938;14568
15223;15852
16588;17225
18011;18645
19434;20068
20781;21412
22052;22675
23299;23930
24540;25173
25778;26403
27036;27662
28298;28923
29543;30163
30739;31357
31929;32551
33128;33753
34363;34985
35714;36347
37176;37815
38651;39282
40070;40697
41391;42021
42686;43320
43961;44591
45233;45861
46515;47141
47781;48413
49021;49643
50188;50814
51338;51960
52475;53093
53636;54268
54909;55544
56399;57040
57888;58524
59406;60052
60891;61531
62353;62993
63784;64418
65172;65814
66512;67152
67834;68472
69141;69776
70454;71088
71775;72408
73096;73726
74440;75071
75777;76409
77113;77745
78422;79053
79718;80350
81006;81636
82266;82896
83539;84178
84823;85453
86109;86740
87386;88016
88702;89346
90053;90685
91420;92056
92732;93363
94014;94650
95301;95937
96622;97261
97986;98622
99288;99924
1.0054e+05;1.0117e+05
1.0177e+05;1.024e+05
1.03e+05;1.0363e+05
1.0426e+05;1.049e+05
1.0554e+05;1.0617e+05
1.0678e+05;1.0741e+05
1.08e+05;1.0863e+05
1.0923e+05;1.0986e+05
1.1047e+05;0
