m1a2;t2
573;1167
1736;2344
2909;3512
4115;4721
5342;5941
6558;7156
7760;8354
8926;9528
10069;10668
11181;11775
12276;12871
13332;13920
14386;14968
15428;16006
16477;17055
17538;18122
18613;19190
19700;20282
20789;21367
21872;22455
22952;23544
24000;24587
25047;25623
26087;26662
27133;27715
28191;28776
29272;29849
30360;30948
31460;32043
32591;33175
33697;34281
34798;35388
35903;36502
37004;37592
38079;38665
39155;39733
40220;40803
41287;41869
42352;42933
43432;44033
44523;45113
45630;46222
46776;47371
47907;48498
49083;49672
50265;50855
51454;52048
52638;53227
53823;54413
54988;55571
56139;56732
57273;57867
58360;58956
59443;60030
60504;61094
61562;62144
62632;63216
63745;64331
64920;65506
66163;66754
67429;68017
68667;69253
69918;70513
71157;71753
72384;72982
73563;74157
74719;75309
75854;76444
76989;77580
78127;78713
79296;79887
80461;81053
81589;82175
82735;83328
83884;84477
85057;85652
86270;86863
87529;88122
88793;89390
90006;90606
91205;91798
92409;93012
93597;94189
94769;95366
95891;96475
97007;97596
98109;98696
99226;99816
1.0039e+05;1.0098e+05
1.0162e+05;1.0222e+05
1.029e+05;1.035e+05
1.042e+05;1.048e+05
1.0546e+05;1.0605e+05
1.0671e+05;1.0731e+05
1.0794e+05;1.0854e+05
1.0916e+05;0
