m1a2;t2
35;653
1315;1933
2619;3239
3921;4546
5255;5869
6589;7203
7867;8463
9136;9809
10394;11010
11647;12268
12938;13557
14290;14902
15627;16247
16952;17577
18314;18935
19701;20323
21084;21697
22427;23059
23698;24311
24965;25589
26225;26839
27505;28120
28821;29435
30105;30716
31369;31986
32667;33287
34017;34641
35403;36017
36797;37420
38134;38755
39424;40036
40724;41340
42016;42627
43338;43948
44662;45270
45918;46537
47189;47811
48477;49098
49791;50410
51180;51808
52563;53185
53878;54499
55229;55851
56588;57212
57972;58596
59352;59975
60649;61271
61919;62540
63195;63819
64473;65093
65767;66392
67076;67693
68355;69001
69673;70293
71005;71633
72354;72978
73694;74320
74977;75597
76289;76913
77606;78227
78925;79549
80245;80869
81511;82134
82796;83397
84099;84736
85435;86062
86800;87425
88105;88725
89420;90043
90768;91386
92136;92760
93539;94167
94953;95581
96309;96938
97684;98321
99063;99700
1.0045e+05;1.0109e+05
1.0179e+05;1.0241e+05
1.0307e+05;1.0369e+05
1.0438e+05;1.0501e+05
1.057e+05;1.0633e+05
1.0705e+05;1.0768e+05
1.0841e+05;1.0904e+05
1.0973e+05;0
