m1a2;t1
582;1147
1616;2183
2641;3212
3667;4226
4687;5244
5709;6268
6732;7290
7748;8313
8761;9319
9770;10346
10774;11352
11769;12327
12761;13317
13752;14311
14743;15299
15734;16293
16722;17287
17711;18277
18696;19256
19682;20234
20671;21224
21672;22231
22694;23252
23730;24289
24765;25322
25792;26370
26826;27402
27854;28413
28882;29443
29907;30468
30933;31491
31959;32517
32974;33534
33985;34566
34988;35547
35989;36543
36991;37549
37993;38546
38998;39554
40002;40558
41003;41562
42001;42567
42994;43549
43990;44537
44989;45539
46001;46559
47017;47570
48039;48587
49065;49646
50085;50662
51099;51657
52110;52664
53116;53669
54124;54684
55132;55688
56141;56698
57141;57700
58137;58697
59127;59679
60119;60669
61119;61672
62125;62676
63135;63688
64155;64717
65172;65730
66187;66745
67207;67760
68236;68794
69272;69830
70311;70864
71358;71917
72398;73026
73429;73987
74449;75003
75465;76019
76474;77026
77478;78025
78482;79034
79480;80036
80470;81027
81456;82009
82433;82978
83410;83958
84394;84950
85380;85928
86373;86923
87369;87929
88364;88921
89352;89907
90337;90885
91327;91876
92311;92860
93297;93847
94279;94823
95259;95816
96235;96781
97208;97758
98174;98723
99143;99682
1.0011e+05;1.0067e+05
1.0109e+05;1.0165e+05
1.0207e+05;1.0263e+05
1.0305e+05;1.0361e+05
1.0404e+05;1.0458e+05
1.0501e+05;1.0556e+05
1.0599e+05;1.0653e+05
1.0696e+05;1.0751e+05
1.0794e+05;1.0849e+05
1.0891e+05;1.0947e+05
