m1a2;t2
460;1032
1874;2452
3276;3845
4758;5333
6901;7499
8844;9435
10662;11252
12157;12737
13557;14145
15015;15602
16848;17441
18693;19293
20434;21034
21992;22582
23439;24031
24969;25566
26879;27481
28741;29350
30471;31087
31982;32580
33419;34014
34902;35493
36778;37391
38624;39237
40354;40958
41850;42460
43310;43916
44914;45517
47097;47722
49050;49671
50843;51458
52392;53001
53929;54541
55633;56247
57607;58225
59431;60056
61078;61697
62832;63455
64948;65584
66984;67630
68744;69377
70355;70983
72087;72718
73987;74632
75995;76630
77769;78400
79498;80143
81399;82040
83338;83988
85135;85773
86803;87442
88659;89305
90824;91472
92796;93447
94582;95220
96415;97066
98371;99020
1.0029e+05;1.0094e+05
1.02e+05;1.0264e+05
1.0384e+05;1.0449e+05
1.059e+05;1.0656e+05
1.0795e+05;0
