m1a2;t2
419;1037
2111;2729
3854;4478
5658;6283
7451;8076
9137;9762
10857;11485
12582;13204
14329;14952
15971;16595
17536;18156
19167;19789
20888;21507
22701;23324
24430;25050
26121;26743
27831;28452
29547;30173
31276;31898
32885;33510
34438;35055
36072;36695
37731;38347
39570;40191
41251;41877
42879;43496
44534;45163
46363;46989
48258;48887
50170;50802
51888;52516
53521;54146
55233;55860
56927;57555
58647;59274
60276;60904
61891;62518
63642;64274
65529;66165
67507;68141
69352;69987
71118;71749
72850;73486
74698;75336
76543;77176
78375;79008
80077;80709
81756;82387
83590;84223
85473;86107
87504;88140
89305;89941
90989;91623
92705;93340
94455;95085
96129;96757
97722;98350
99289;99915
1.0105e+05;1.0168e+05
1.0295e+05;1.0359e+05
1.0497e+05;1.0561e+05
1.0676e+05;1.074e+05
1.0845e+05;0
