m1a2;t2
379;1007
2101;2730
3890;4519
5647;6285
7303;7929
9021;9651
10713;11340
12411;13045
14023;14655
15629;16259
17344;17978
19096;19726
20825;21456
22577;23214
24218;24851
25746;26383
27244;27871
28729;29358
30339;30964
32093;32723
34005;34642
35828;36458
37499;38134
39106;39740
40831;41466
42607;43244
44333;44973
45946;46578
47514;48146
49094;49729
50685;51318
52268;52902
53892;54523
55517;56150
57166;57801
58828;59458
60514;61148
62178;62811
63830;64462
65478;66111
67184;67816
68912;69548
70696;71329
72491;73129
74277;74912
75973;76604
77609;78242
79225;79862
80702;81326
82052;82673
83447;84065
85082;85711
86798;87433
88533;89165
90271;90909
92004;92639
93694;94330
95310;95946
96981;97614
98508;99138
99888;1.0053e+05
1.0122e+05;1.0184e+05
1.0262e+05;1.0324e+05
1.0527e+05;1.0593e+05
1.0743e+05;1.0807e+05
1.0934e+05;0
