m1a2;t2
576;1230
2183;2828
3747;4392
5336;5976
7030;7676
8665;9302
10345;10984
11937;12582
13595;14232
15544;16196
17482;18135
19364;20016
21184;21841
22931;23584
24536;25182
26144;26795
27811;28459
29592;30244
31346;31998
32980;33625
34608;35257
36099;36742
37571;38220
39132;39781
41168;41830
43095;43749
45006;45667
46690;47346
48247;48902
49801;50449
51335;51982
52723;53360
54152;54792
55704;56345
57609;58272
59448;60103
61264;61923
62956;63606
64626;65282
66249;66899
67787;68427
69307;69954
70883;71531
72476;73122
74147;74796
76084;76747
77924;78578
79769;80420
81550;82204
83385;84038
85202;85865
87006;87660
88795;89448
90567;91224
92375;93032
94143;94803
95909;96564
97727;98387
99604;1.0026e+05
1.0142e+05;1.0208e+05
1.0302e+05;1.0367e+05
1.0474e+05;1.0541e+05
1.0684e+05;1.0751e+05
1.0882e+05;0
