m1a2;t2
267;884
1842;2457
3348;3967
4794;5409
6256;6865
7842;8462
9481;10094
11043;11657
12575;13189
14233;14854
15920;16542
17632;18251
19210;19830
20741;21365
22385;23002
24039;24662
25633;26252
27162;27758
28794;29398
30590;31216
32453;33076
34306;34929
36026;36655
37751;38380
39530;40163
41289;41927
42902;43531
44566;45195
46425;47056
48283;48917
50342;50981
52426;53063
54267;54904
56028;56669
57920;58554
59860;60501
61607;62243
63304;63936
65127;65760
67065;67704
68942;69577
70693;71348
72459;73101
74327;74965
76160;76796
77855;78485
79477;80111
81291;81925
83144;83783
84979;85614
86652;87285
88413;89049
90210;90847
91972;92606
93624;94262
95353;95985
97276;97920
99163;99803
1.0093e+05;1.0157e+05
1.0277e+05;1.0341e+05
1.0464e+05;1.0529e+05
1.0647e+05;1.0712e+05
