m1a2;t2
237;954
1874;2526
3541;4205
5225;5897
6953;7613
8706;9375
10480;11159
12228;12902
13925;14592
15557;16263
17178;17855
18837;19539
20514;21181
22255;22926
23966;24622
25622;26302
27252;27950
28909;29568
30573;31254
32189;32894
33769;34480
35360;36053
36968;37655
38659;39363
40444;41138
42234;42921
43971;44654
45713;46411
47454;48203
49233;49907
51013;51713
52766;53434
54476;55146
56224;56915
57986;58670
59749;60422
61475;62156
63102;63766
64717;65394
66451;67116
68228;68892
70021;70689
71796;72481
73520;74218
75244;75934
77026;77708
78795;79465
80485;81175
82149;82850
83826;84516
85595;86274
87392;88077
89188;89882
90926;91621
92618;93298
94330;95004
96037;96712
97761;98464
99535;1.0022e+05
1.0129e+05;1.0197e+05
1.0302e+05;1.0371e+05
1.0483e+05;1.055e+05
