m1a2;t2
290;961
1864;2563
3498;4227
5230;5900
7016;7679
8826;9477
10592;11271
12289;12952
13915;14577
15492;16182
17099;17761
18759;19423
20447;21098
22140;22814
23794;24487
25422;26108
27036;27724
28631;29281
30264;30925
31956;32638
33683;34349
35453;36107
37192;37871
38868;39568
40462;41127
42001;42707
43531;44238
45110;45805
46745;47455
48376;49042
49989;50658
51670;52333
53403;54078
55175;55831
56949;57625
58670;59368
60329;61011
61967;62661
63613;64282
65319;65999
67122;67819
68958;69643
70793;71464
72578;73263
74317;74984
76070;76727
77849;78509
79658;80329
81471;82160
83268;83992
85013;85686
86731;87416
88499;89166
90298;91004
92110;92794
93943;94613
95699;96399
97399;98071
99059;99726
1.0074e+05;1.0141e+05
