m1a2;t2
849;1474
2431;3113
4012;4728
5586;6291
7211;7916
8836;9541
10481;11188
12130;12836
13747;14406
15344;16007
16913;17646
18482;19164
20106;20851
21783;22466
23509;24190
25278;25939
27037;27705
28818;29516
30643;31323
32384;33113
34039;34725
35579;36254
37085;37764
38634;39305
40283;40949
42035;42703
43853;44514
45711;46426
47608;48281
49519;50174
51411;52117
53230;53895
54993;55687
56734;57428
58459;59146
60179;60871
61933;62627
63719;64428
65500;66197
67312;67989
69108;69812
70946;71647
72829;73481
74715;75383
76683;77361
78485;79132
80111;80828
81664;82367
83192;83934
84870;85588
86741;87433
88718;89396
90680;91395
92668;93361
94668;95399
96564;97259
98265;98973
99867;1.0057e+05
1.0147e+05;1.0215e+05
1.0308e+05;1.0379e+05
1.0477e+05;1.0551e+05
1.0657e+05;1.0717e+05
