m1a2;t2
196;893
1828;2554
3542;4216
5292;5937
7074;7728
8862;9531
10631;11279
12325;13019
14023;14697
15688;16324
17387;18074
19212;19872
21082;21736
22957;23626
24820;25486
26679;27346
28566;29272
30414;31076
32254;32921
34084;34760
35890;36578
37680;38361
39432;40088
41158;41861
42852;43497
44562;45218
46279;46962
48043;48718
49857;50541
51661;52322
53446;54110
55214;55886
56929;57631
58665;59379
60366;61032
62125;62795
63923;64610
65730;66386
67523;68200
69322;70017
71115;71800
72843;73519
74545;75219
76194;76883
77858;78523
79582;80231
81367;82030
83224;83879
85081;85784
86951;87637
88852;89531
90707;91386
92548;93229
94403;95085
96273;96982
98223;98924
1.0012e+05;1.0079e+05
1.0209e+05;1.0281e+05
1.0407e+05;1.0479e+05
1.0614e+05;1.0687e+05
1.0818e+05;0
