m1a2;t2
214;879
1941;2606
3672;4344
5414;6062
7139;7801
8852;9497
10538;11209
12292;12929
14036;14695
15808;16473
17524;18165
19207;19869
20926;21567
22668;23310
24353;25036
26014;26687
27748;28439
29497;30170
31286;31959
33052;33710
34815;35480
36600;37269
38351;39017
40071;40757
41712;42388
43424;44074
45179;45833
46920;47585
48594;49277
50311;50999
52040;52718
53756;54469
55437;56120
57183;57881
58879;59577
60576;61240
62344;62999
64132;64795
65856;66549
67581;68245
69294;69967
71010;71686
72726;73406
74386;75081
76083;76773
77767;78438
79440;80094
81055;81725
82692;83365
84346;85016
85952;86636
87634;88314
89342;90023
91041;91722
92737;93426
94493;95170
96217;96920
97828;98509
99451;1.0012e+05
1.0104e+05;1.0175e+05
1.0258e+05;1.0324e+05
1.0416e+05;1.0484e+05
1.0578e+05;1.0645e+05
1.0741e+05;0
