m2a2;t2
240;904
1875;2523
3523;4171
5234;5893
6922;7571
8558;9210
10124;10778
11662;12309
13189;13860
14733;15383
16294;16952
17892;18552
19512;20168
21187;21851
22906;23555
24629;25278
26255;26908
27887;28538
29496;30156
31062;31722
32612;33274
34155;34812
35741;36402
37355;38010
39039;39691
40720;41373
42394;43056
44043;44700
45700;46359
47277;47931
48833;49488
50376;51038
51930;52588
53573;54242
55282;55937
57132;57790
59396;60056
61452;62120
63343;64009
65122;65800
66847;67507
68593;69264
70362;71047
72152;72811
74049;74709
76099;76770
78138;78804
80179;80850
82177;82845
84147;84820
85985;86663
87743;88423
89477;90141
