m2a2;t2
124;304
535;713
958;1137
1405;1589
1850;2035
2299;2478
2744;2930
3180;3361
3601;3783
4010;4195
4421;4601
4835;5014
5270;5449
5725;5902
6185;6363
6641;6822
7086;7256
7509;7679
7917;8099
8313;8492
8723;8903
9139;9319
9578;9761
10020;10202
10464;10662
10891;11072
11308;11490
11713;11896
12118;12297
12538;12716
12967;13146
13413;13593
13858;14040
14294;14480
14720;14903
15135;15317
15547;15726
15969;16150
16406;16585
16847;17027
17283;17462
17719;17899
18155;18332
18585;18766
19013;19197
19434;19613
19862;20044
20285;20465
20718;20900
21159;21342
21604;21784
22068;22249
22532;22706
23003;23179
23480;23657
23954;24128
24421;24596
24879;25057
25297;25478
25699;25882
26108;26291
26535;26717
26987;27168
