m1a2;t2
448;1110
2069;2734
3709;4387
5330;6000
6928;7600
8560;9234
10221;10885
11907;12580
13626;14295
15356;16032
17050;17732
18705;19379
20314;20986
21941;22613
23572;24244
25192;25900
26878;27582
28576;29257
30249;30928
31899;32580
33532;34201
35230;35900
36918;37591
38633;39309
40330;41007
42040;42715
43762;44441
45494;46170
47252;47929
49066;49740
50859;51534
52668;53347
54440;55116
56141;56820
57836;58509
59533;60209
61260;61937
62951;63624
64590;65263
66238;66932
67900;68578
69643;70319
71409;72088
73239;73915
75063;75744
76865;77550
78593;79279
80222;80913
81784;82467
83354;84034
84981;85654
86630;87305
88296;88970
89971;90652
91654;92329
93347;94030
95065;95749
96795;97474
98525;99204
1.0021e+05;1.0089e+05
1.0182e+05;1.025e+05
1.0344e+05;1.0412e+05
1.0508e+05;1.0576e+05
1.0673e+05;1.0741e+05
