m1a2;t2
251;943
1753;2447
3300;3992
4944;5665
6577;7285
8199;8845
9844;10555
11484;12199
13107;13846
14776;15427
16487;17190
18252;18986
20014;20718
21828;22493
23609;24282
25366;26025
27012;27699
28624;29377
30224;30913
31865;32609
33549;34206
35369;36068
37186;37916
39000;39682
40830;41524
42595;43264
44255;44946
45826;46522
47383;48058
48974;49723
50689;51370
52424;53109
54184;54896
55921;56611
57670;58371
59457;60128
61202;61883
62945;63582
64663;65338
66311;66964
67890;68582
69424;70144
70946;71604
72512;73185
74164;74845
75886;76551
77648;78311
79367;80024
80978;81696
82558;83234
84114;84791
85696;86395
87357;88043
89119;89768
90867;91582
92590;93249
94259;94931
95904;96572
97540;98248
99196;99866
1.0087e+05;1.0157e+05
1.0257e+05;1.0327e+05
1.0422e+05;1.0488e+05
1.0581e+05;1.0649e+05
1.0739e+05;1.0805e+05
1.0902e+05;0
