m1a3;t3
90;235
508;655
929;1097
1368;1544
1832;1988
2298;2470
2779;2965
3251;3416
3692;3861
4154;4323
4627;4788
5082;5246
5547;5711
6025;6179
6477;6645
6931;7107
7407;7570
7880;8049
8337;8507
8813;8987
9301;9455
9758;9926
10224;10387
10696;10852
11153;11315
11592;11772
12053;12213
12528;12697
12982;13159
13437;13618
13911;14068
14383;14556
14841;15006
15320;15480
15798;15964
16248;16416
16705;16870
17182;17354
17637;17808
18111;18279
18610;18780
19092;19262
19580;19750
20067;20239
20520;20693
20964;21135
21449;21619
21944;22116
22427;22599
22885;23056
23314;23485
23765;23937
24226;24387
24696;24867
25152;25325
25607;25775
26079;26251
26530;26700
26984;0
