m1a3;t3
59;236
481;636
918;1100
1337;1522
1768;1945
2199;2353
2622;2801
3054;3226
3488;3648
3917;4092
4350;4515
4800;4984
5256;5429
5716;5885
6169;6338
6632;6786
7095;7268
7550;7710
7988;8162
8411;8578
8834;8995
9269;9432
9720;9886
10183;10320
10614;10769
11062;11235
11525;11692
11988;12156
12442;12611
12871;13031
13281;13442
13690;13869
14101;14256
14528;14677
14954;15133
15366;15547
15802;15970
16253;16409
16704;16870
17146;17311
17560;17724
17969;18154
18390;18570
18824;19005
19259;19414
19687;19842
20124;20307
20565;20737
21019;21183
21461;21636
21901;22067
22351;22519
22790;22959
23241;23408
23705;23876
24176;24351
24629;24801
25066;25244
25490;25657
25924;26093
26366;26525
