m2a2;t2
56;232
485;663
921;1101
1356;1524
1789;1961
2234;2406
2671;2850
3103;3280
3533;3710
3959;4137
4392;4572
4819;5000
5240;5419
5663;5845
6100;6279
6547;6725
7004;7182
7477;7655
7956;8126
8410;8581
8846;9026
9262;9440
9672;9851
10081;10263
10497;10678
10917;11095
11359;11537
11822;12000
12293;12472
12755;12933
13192;13364
13614;13785
14026;14197
14433;14612
14850;15029
15279;15458
15708;15884
16144;16322
16560;16740
16966;17146
17367;17546
17769;17946
18173;18351
18587;18764
19002;19179
19419;19600
19828;20009
20234;20413
20635;20815
21060;21237
21502;21679
21963;22140
22421;22592
22887;23058
23340;23510
23792;23965
24231;24403
24683;24856
25132;25304
25586;25757
26051;26222
26512;26684
