m2a2;t2
187;351
609;774
1008;1170
1388;1555
1771;1917
2167;2329
2565;2734
2974;3135
3407;3571
3859;4025
4303;4470
4721;4889
5123;5290
5533;5702
5962;6134
6420;6618
6927;7089
7414;7573
7879;8038
8346;8506
8825;8983
9321;9472
9822;9981
10309;10472
10751;10914
11168;11340
11600;11773
12081;12247
12562;12727
13036;13196
13488;13652
13894;14069
14291;14464
14702;14873
15172;15345
15676;15844
16195;16359
16709;16877
17218;17383
17723;17892
18232;18401
18754;18925
19272;19433
19811;19979
20365;20534
20895;21064
21421;21592
21934;22104
22372;22543
22796;22973
23254;23433
23751;23917
24274;24444
24763;24935
25215;25388
25704;25874
26204;26376
