m1a3;t3
842;1494
2027;2721
3211;3854
4395;5045
5563;6205
6718;7360
7897;8542
9058;9682
10233;10905
11406;12046
12549;13202
13698;14345
14857;15517
16014;16662
17215;17858
18392;19041
19547;20194
20705;21362
21868;22509
23060;23699
24253;24894
25457;26100
26646;27292
27807;28446
28977;29621
30140;30777
31315;31947
32476;33125
33632;34283
34782;35421
35971;36608
37156;37800
38359;39020
39540;40190
40711;41366
41868;42530
43038;43667
44234;44886
45424;46071
46618;47263
47769;48400
48933;49602
50108;50775
51294;51946
52488;53128
53651;54295
54811;55443
55961;56630
57091;57739
58191;58899
59304;59927
60410;61073
61524;62234
62640;63363
63775;64434
64906;65559
66052;66707
67205;67848
68357;69019
69519;70174
70664;71293
71812;72446
72950;73591
74092;74727
75216;75840
76345;76952
77479;78113
78617;79266
79745;80392
80888;81532
82042;82675
83264;83914
84485;85124
85717;86372
86943;87618
88197;88862
89428;90068
90703;91358
91999;92659
93298;93953
94535;95182
95779;96430
97047;97700
98318;98967
99561;1.0021e+05
1.0076e+05;1.0142e+05
1.0198e+05;1.0263e+05
1.032e+05;1.0383e+05
1.0444e+05;1.0508e+05
1.0565e+05;1.0631e+05
1.0684e+05;1.0748e+05
1.0803e+05;1.0863e+05
