m1a3;t3
315;920
1578;2292
2815;3537
4041;4680
5300;5969
6531;7189
7754;8413
8960;9635
10173;10811
11368;12040
12606;13285
13831;14478
15076;15722
16324;17054
17561;18228
18767;19431
20010;20673
21249;21893
22511;23165
23746;24401
24972;25618
26189;26850
27451;28111
28696;29338
29938;30610
31178;31849
32392;33039
33594;34274
34838;35499
36086;36746
37333;37981
38586;39253
39812;40492
41016;41686
42267;42976
43502;44159
44728;45372
45949;46653
47163;47828
48369;49034
49604;50281
50866;51538
52115;52768
53382;54053
54647;55323
55889;56537
57126;57748
58362;59095
59610;60238
60856;61512
62091;62769
63301;63957
64519;65179
65743;66386
66973;67637
68195;68859
69397;70030
70585;71240
71789;72426
73014;73668
74233;74917
75442;76148
76660;77327
77860;78514
79082;79728
80310;80960
81536;82204
82757;83408
83959;84621
85197;85857
86443;87104
87675;88335
88921;89547
90168;90826
91380;92028
92620;93281
93872;94515
95093;95763
96336;96996
97565;98219
98776;99443
99986;1.0065e+05
1.0123e+05;1.0188e+05
1.0246e+05;1.0316e+05
1.0368e+05;1.0433e+05
1.0488e+05;1.0555e+05
