m1a3;t3
802;271
1915;1425
3013;2375
4123;3614
5247;4838
6363;5877
7478;7007
8592;8076
9719;9238
10862;10325
11982;11575
13084;12643
14186;13688
15313;14868
16425;15906
17528;16996
18639;18215
19761;19254
20860;20354
21976;21459
23087;22652
24203;23680
25320;24812
26450;25966
27573;27060
28695;28287
29844;29428
30988;30496
32134;31590
33263;32769
34411;33829
35570;35046
36716;36196
37851;37409
38981;38516
40132;39560
41290;40724
42428;41909
43581;43009
44799;44182
45984;45402
47136;46684
48279;47764
49440;48844
50638;50043
51820;51287
52985;52456
54180;53750
55379;54782
56583;56009
57755;57198
58931;58449
60116;59554
61381;60735
62571;62010
63775;63141
64965;64465
66192;65595
67410;66803
68593;68029
69780;69182
71010;70569
72247;71595
73454;72875
74653;74064
75877;75253
77123;76490
78365;77777
79574;78994
80784;80209
81999;81373
83302;82626
84518;83984
85725;85180
86956;86362
88189;87536
89440;88828
90656;90071
91877;91326
93160;92502
94433;93821
95677;95074
96899;96348
98140;97552
99439;98748
1.007e+05;1.001e+05
1.0193e+05;1.0137e+05
1.0318e+05;1.0255e+05
1.0443e+05;1.0394e+05
1.0572e+05;1.0507e+05
1.0694e+05;1.0637e+05
1.0817e+05;1.0756e+05
