m1a3;t3
134;722
1355;1993
2576;3230
3805;4461
5027;5712
6244;6885
7484;8173
8722;9416
9982;10662
11220;11889
12436;13109
13662;14351
14895;15554
16145;16836
17385;18043
18611;19290
19861;20525
21116;21785
22359;23084
23609;24283
24842;25497
26053;26737
27291;27955
28526;29286
29773;30449
31012;31691
32237;32898
33482;34152
34723;35365
35966;36624
37217;37909
38451;39130
39682;40361
40886;41568
42114;42820
43369;44032
44638;45337
45872;46538
47082;47745
48297;48943
49530;50174
50779;51424
52039;52719
53270;53908
54495;55182
55693;56335
56911;57570
58116;58828
59323;59986
60510;61205
61687;62343
62878;63550
64062;64704
65284;66014
66481;67159
67666;68312
68835;69497
70018;70687
71206;71978
72410;73058
73599;74265
74778;75448
75966;76642
77165;77828
78364;79011
79588;80243
80783;81419
81968;82614
83171;83828
84395;85064
85612;86180
86840;87520
88048;88704
89240;89882
90432;91086
91652;92298
92861;93573
94111;94762
95335;95980
96565;97241
97798;98442
99009;99711
1.0025e+05;1.0093e+05
1.0147e+05;1.0214e+05
1.0269e+05;1.0332e+05
1.0393e+05;1.046e+05
1.052e+05;1.0587e+05
1.0649e+05;1.0717e+05
1.0776e+05;0
