m1a3;t3
343;977
1601;2259
2872;3529
4144;4809
5422;6096
6661;7329
7895;8558
9128;9794
10386;11057
11622;12280
12857;13533
14066;14738
15287;15948
16558;17239
17818;18482
19104;19764
20383;21043
21640;22301
22949;23637
24249;24896
25525;26174
26824;27517
28084;28748
29323;29979
30580;31233
31839;32501
33087;33750
34346;35013
35612;36300
36829;37491
38064;38711
39291;39938
40524;41230
41762;42419
42983;43637
44207;44877
45453;46111
46683;47359
47910;48577
49155;49826
50419;51086
51623;52281
52850;53511
54078;54772
55340;56000
56575;57247
57816;58481
59040;59700
60280;60932
61494;62172
62761;63419
63983;64651
65222;65924
66422;67079
67641;68308
68877;69528
70113;70762
71370;72022
72606;73255
73823;74491
75042;75687
76308;76961
77550;78195
78802;79458
80027;80676
81247;81909
82500;83144
83743;84386
84984;85627
86222;86878
87439;88091
88660;89304
89897;90554
91148;91804
92371;93025
93613;94266
94842;95501
96050;96707
97297;97945
98536;99203
99780;1.0044e+05
1.0106e+05;1.0173e+05
1.0227e+05;1.0291e+05
1.035e+05;1.0416e+05
1.0473e+05;0
