m1a3;t3
206;856
1401;2052
2615;3277
3808;4467
4963;5620
6104;6760
7258;7937
8405;9050
9542;10223
10684;11333
11831;12492
12972;13579
14095;14754
15228;15890
16374;17089
17518;18146
18653;19334
19784;20430
20933;21595
22078;22743
23232;23887
24405;25047
25572;26211
26726;27374
27867;28487
28991;29684
30120;30785
31269;31940
32437;33078
33628;34297
34814;35494
35975;36642
37154;37837
38344;38977
39522;40147
40699;41372
41887;42512
43036;43700
44194;44880
45342;46027
46472;47129
47605;48259
48745;49407
49893;50568
51041;51668
52196;52841
53341;53972
54488;55150
55633;56345
56752;57397
57878;58564
59023;59683
60171;60844
61313;61980
62474;63112
63646;64367
64811;65454
65982;66662
67159;67798
68318;68985
69476;69941
70605;71251
71731;72368
72862;73493
73998;74612
75143;75849
76300;76962
77427;78141
78551;79189
79678;80421
80847;81441
81947;82592
83066;83705
84207;84844
85364;86003
86515;87000
87671;88359
88821;89479
89971;90656
91133;91808
92310;92974
93482;94087
94644;95305
95806;96526
96958;97423
98089;98756
99229;99926
1.0038e+05;1.0104e+05
1.0154e+05;1.0217e+05
1.0272e+05;1.0344e+05
1.0388e+05;1.0457e+05
1.0507e+05;1.0572e+05
1.0626e+05;1.0697e+05
1.0745e+05;1.0808e+05
1.0864e+05;0
