m1a3;t3
332;1007
1644;2321
2995;3678
4311;4991
5647;6342
6991;7667
8332;9012
9654;10323
10959;11638
12299;12993
13596;14298
14937;15635
16242;16919
17558;18207
18875;19507
20194;20871
21482;22160
22779;23462
24085;24782
25392;26075
26709;27510
28015;28676
29317;29978
30629;31316
31921;32564
33242;33902
34534;35233
35813;36302
37108;37746
38393;39054
39655;40275
40938;41704
42243;42918
43491;44138
44830;45490
46077;46751
47342;48012
48650;49360
49914;50596
51188;51864
52466;53136
53773;54462
55072;55773
56397;57096
57689;58370
58970;59660
60270;60759
61553;62297
62808;63546
64097;64736
65370;66017
66669;67338
67984;68668
69267;69950
70544;71236
71805;72509
73069;73720
74315;74998
75565;76272
76851;77544
78127;78912
79391;80082
80661;81372
81929;82603
83172;83853
84412;85103
85672;0
