m1a3;t3
282;953
1521;2179
2792;3448
4069;4722
5301;5932
6529;7182
7763;8447
8992;9666
10243;10916
11434;12084
12652;13306
13886;14553
15107;15757
16333;16977
17552;18207
18759;19387
19986;20639
21198;21856
22416;23060
23652;24280
24849;25503
26069;26713
27285;27920
28505;29172
29724;30360
30923;31591
32121;32797
33329;33970
34541;35195
35756;36388
36965;37628
38168;38830
39371;40081
40580;41224
41785;42448
42981;43657
44169;44801
45347;45991
46542;47191
47724;48381
48915;49538
50087;50772
51273;51925
52482;53124
53705;54353
54920;55574
56137;56764
57331;57962
58576;59219
59791;60419
61007;61646
62204;62863
63399;64034
64589;65229
65788;66434
67002;67637
68230;68897
69422;70112
70631;71312
71829;72453
73053;73707
74237;74855
75410;76040
76616;77260
77850;78488
79079;79722
80337;80984
81550;82211
82753;83404
83970;84621
85189;85797
86411;87093
87640;88291
88845;89493
90052;90683
91282;91903
92523;93250
93756;94416
94985;95761
96201;96864
97422;98086
98662;99301
99917;1.0056e+05
1.0115e+05;1.0182e+05
1.0239e+05;1.0304e+05
1.0361e+05;1.0425e+05
1.048e+05;1.0546e+05
1.06e+05;1.0665e+05
1.0721e+05;1.0789e+05
