m1a2;t2
701;179
1962;1387
3226;2605
4496;3913
5742;5226
6993;6402
8236;7618
9465;8925
10697;10152
11927;11342
13182;12606
14420;13836
15666;15070
16891;16374
18121;17576
19349;18770
20590;20025
21828;21260
23062;22508
24317;23732
25571;24990
26865;26234
28122;27542
29403;28797
30667;30083
31953;31321
33173;32611
34403;33818
35614;35090
36835;36254
38036;37532
39234;38703
40444;39898
41672;41101
42877;42341
44082;43535
45299;44745
46526;45959
47749;47224
48961;48401
50179;49628
51398;50838
52611;52070
53808;53282
55013;54458
56221;55677
57409;56879
58608;58057
59812;59285
61035;60448
62245;61730
63449;62954
64679;64106
65906;65346
67123;66582
68341;67789
69587;69014
70852;70250
72104;71550
73318;72831
74536;73955
75759;75171
76998;76436
78204;77638
79400;78810
80593;80056
81769;81299
82938;82445
84090;83619
85232;84747
86412;85923
87618;87058
88835;88315
90052;89519
91289;90787
92578;91991
93846;93236
95128;94477
96375;95803
97644;97071
98902;98358
1.0017e+05;99508
1.0142e+05;1.0084e+05
