m1a2;t2
266;889
1677;2308
3045;3672
4410;5042
5777;6408
7136;7779
8493;9127
9833;10471
11222;11864
12632;13287
14008;14648
15389;16027
16817;17458
18264;18898
19658;20287
21031;21673
22422;23051
23825;24447
25207;25845
26557;27202
27922;28562
29315;29944
30708;31353
32083;32718
33461;34099
34860;35494
36251;36888
37620;38254
38957;39583
40307;40948
41637;42264
42960;43595
44254;44878
45555;46187
46883;47518
48220;48843
49551;50193
50902;51543
52272;52916
53679;54320
55050;55688
56416;57044
57788;58428
59158;59798
60523;61174
61867;62507
63204;63834
64560;65195
65929;66565
67247;67885
68566;69201
69896;70538
71235;71869
72591;73228
73933;74573
75300;75931
76712;77351
78114;78747
79513;80150
80905;81546
82281;82900
83653;84289
84988;85631
86311;86945
87637;88267
88966;89591
90283;90909
91597;92226
92942;93580
94316;94940
95695;96328
97072;97704
98445;99081
99845;1.005e+05
1.0124e+05;1.0187e+05
1.0259e+05;1.0321e+05
1.0395e+05;1.0459e+05
1.0531e+05;1.0595e+05
1.0665e+05;1.0729e+05
1.0799e+05;0
