m1a1;t3
843;1584
2756;3487
4711;5437
6604;7340
8383;9120
10063;10793
11817;12562
13796;14563
15910;16643
18056;18774
20102;20814
22105;22835
23988;24725
25754;26484
27438;28151
29147;29970
31124;31880
33288;34029
35523;36264
37634;38358
39581;40309
41386;42125
43256;44027
45281;46021
47432;48188
49560;50280
51554;52292
53426;54171
55413;56195
57491;58235
59626;60357
61731;62487
63780;64518
65682;66428
67482;68222
69461;70191
71611;72355
73817;74561
75974;76773
77961;78686
79833;80571
81583;82329
83390;84150
85455;86222
87656;88397
89864;90584
91992;92725
93979;94711
95784;96511
97704;98461
99696;1.0044e+05
1.0172e+05;1.0248e+05
1.0366e+05;1.0439e+05
1.0553e+05;1.0627e+05
1.0733e+05;1.081e+05
