m1a1;t3
498;1205
2456;3157
4387;5082
6217;6908
7965;8656
9793;10494
11681;12372
13630;14326
15608;16309
17487;18181
19280;20001
21031;21718
22853;23608
24765;25453
26745;27435
28723;29423
30646;31325
32455;33161
34166;34870
35850;36582
37652;38345
39529;40248
41459;42148
43389;44066
45272;45970
47062;47755
48768;49476
50558;51270
52442;53137
54388;55075
56277;56975
57969;58679
59532;60253
61074;61772
62756;63439
64621;65371
66586;67329
68632;69341
70635;71335
72561;73258
74435;75129
76289;77006
78140;78846
80014;80712
81901;82604
83828;84532
85792;86490
87779;88478
89762;90464
91711;92402
93647;94335
95561;96269
97438;98140
99317;1.0006e+05
1.0121e+05;1.0192e+05
1.031e+05;1.0381e+05
1.05e+05;1.0572e+05
1.0689e+05;1.0758e+05
