m1a1;t3
338;1019
2274;2972
4128;4840
5891;6596
7795;8492
9783;10501
11832;12532
13852;14584
15759;16454
17566;18265
19278;19979
21078;21770
22923;23623
24815;25497
26742;27460
28567;29274
30329;31022
32167;32863
34075;34783
36016;36709
37946;38684
39783;40477
41544;42244
43221;43930
45016;45698
46890;47615
48819;49509
50759;51447
52640;53343
54423;55127
56066;56748
57742;58425
59524;60250
61327;62034
62969;63689
64552;65255
66232;66946
68022;68740
69836;70543
71701;72401
73551;74271
75348;76050
77100;77791
78850;79547
80677;81419
82578;83291
84572;85277
86604;87331
88651;89346
90678;91378
92639;93341
94556;95248
96438;97141
98288;98993
1.0013e+05;1.0084e+05
1.0197e+05;1.0269e+05
1.0385e+05;1.0455e+05
1.0576e+05;1.0647e+05
