m1a1;t3
177;893
2080;2793
3953;4638
5808;6517
7632;8316
9411;10121
11160;11844
12885;13573
14476;15161
16112;16776
17758;18449
19467;20153
21204;21873
22953;23666
24729;25395
26510;27262
28173;28871
29900;30578
31634;32298
33284;33958
34971;35673
36679;37373
38402;39083
40095;40770
41827;42479
43611;44292
45255;45938
46958;47637
48701;49384
50414;51112
52181;52896
53944;54624
55695;56372
57398;58057
59089;59800
60783;61493
62504;63190
64263;64950
66034;66703
67808;68478
69551;70231
71324;71997
73100;73784
74901;75585
76730;77410
78582;79271
80458;81127
82312;83001
84106;84803
85904;86579
87723;88426
89542;90202
91271;91933
93021;93715
94788;95471
96590;97251
98327;99015
1.001e+05;1.0077e+05
1.019e+05;1.0261e+05
1.0373e+05;1.0439e+05
1.0555e+05;1.0627e+05
1.0736e+05;1.0804e+05
