m1a1;t3
815;1537
2645;3376
4458;5150
6322;7012
8217;8909
10034;10733
11953;12622
13901;14615
15841;16548
17725;18448
19656;20348
21587;22260
23467;24172
25425;26150
27432;28113
29424;30135
31306;31981
33245;33963
35187;35917
37128;37830
38971;39674
40897;41584
42843;43529
44721;45444
46542;47247
48422;49177
50328;51059
52165;52905
54031;54710
55895;56601
57705;58392
59560;60271
61421;62118
63184;63900
65031;65758
66896;67585
68782;69466
70549;71280
72371;73049
74253;74991
76141;76846
77929;78632
79793;80478
81626;82329
83351;84042
85172;85877
87026;87742
88851;89541
90594;91302
92427;93118
94275;94973
96053;96741
97847;98539
99678;1.0041e+05
1.0147e+05;1.0218e+05
1.0322e+05;1.0393e+05
1.0508e+05;1.0578e+05
1.0697e+05;1.0772e+05
