m1a1;t3
1347;2069
3404;4141
5391;6120
7472;8222
9554;10342
11612;12348
13593;14315
15608;16349
17664;18387
19701;20436
21650;22377
23686;24399
25794;26510
27940;28697
29971;30711
32020;32770
34093;34821
36176;36919
38227;38961
40169;40902
42199;42927
44286;45024
46365;47101
48333;49048
50348;51086
52435;53192
54526;55273
56497;57251
58459;59167
60496;61239
62541;63252
64594;65389
66538;67286
68429;69175
70415;71142
72463;73198
74480;75221
76377;77114
78267;78979
80211;80917
82183;82962
84052;84804
85888;86608
87831;88562
89784;90527
91699;92411
93519;94234
95438;96182
97374;98086
99275;99999
1.0108e+05;1.0178e+05
1.0295e+05;1.0367e+05
1.0488e+05;1.0561e+05
1.0681e+05;1.0754e+05
