m1a2;t2
1358;2047
3075;3746
4809;5483
6574;7272
8234;8910
9696;10376
11143;11825
12726;13400
14583;15265
16472;17158
18299;18981
19838;20531
21251;21922
22643;23314
24143;24821
25813;26501
27458;28145
29044;29739
30445;31119
31763;32443
33105;33767
34607;35279
36240;36934
37892;38579
39376;40054
40705;41383
41989;42684
43302;43972
44725;45391
46285;46933
47806;48497
49154;49831
50418;51088
51653;52323
52925;53598
54447;55124
56161;56844
57771;58452
59156;59834
60500;61155
61888;62546
63402;64070
64928;65605
66293;66970
67614;68289
68969;69640
70416;71083
71931;72609
73284;73957
74570;75219
75865;76501
77162;77810
78438;79080
79674;80341
80858;81511
82023;82671
83191;83839
84370;85018
85554;86222
86715;87374
87844;88485
88962;89599
90094;90717
91297;91949
92568;93190
93857;94522
95090;95730
96276;96917
97432;98063
98587;99247
99780;1.0042e+05
1.0103e+05;1.0167e+05
1.0229e+05;1.0292e+05
1.035e+05;1.0421e+05
1.0468e+05;1.0537e+05
1.0584e+05;1.0649e+05
1.0697e+05;0
