m1a2;t2
382;1028
1698;2345
3034;3671
4373;5015
5652;6298
6887;7525
8101;8746
9380;10019
10809;11452
12348;12993
13892;14547
15414;16064
16747;17405
17996;18644
19187;19831
20403;21044
21770;22416
23324;23969
24868;25523
26374;27026
27788;28450
29083;29728
30312;30953
31527;32169
32838;33483
34395;35061
35993;36636
37495;38151
38834;39503
40112;40775
41391;42048
42769;43411
44278;44920
45847;46505
47417;48070
48970;49619
50487;51142
51942;52578
53391;54043
54785;55428
56154;56800
57512;58163
58884;59538
60198;60845
61634;62299
63138;63787
64698;65352
66268;66923
67816;68469
69283;69949
70766;71429
72243;72887
73661;74327
75056;75694
76401;77051
77604;78284
78738;79393
79854;80524
80962;81592
82111;82769
83549;84209
85220;85864
86938;87594
88400;89064
89705;90358
90945;91618
92188;92840
93559;94218
95343;95990
97204;97860
98968;99639
1.0043e+05;1.0109e+05
1.0174e+05;1.0238e+05
1.0302e+05;1.0367e+05
1.0448e+05;1.0514e+05
1.0634e+05;1.07e+05
1.0826e+05;0
