m2a2;t2
152;785
2029;2657
3922;4555
5659;6290
7408;8037
9238;9874
11613;12245
13595;14238
16096;16746
18127;18756
20027;20661
22013;22651
23955;24606
25707;26343
27423;28058
29272;29914
31575;32221
33491;34120
35323;35969
37864;38515
40228;40873
41973;42620
43721;44364
45621;46264
48232;48870
50096;50749
52255;52908
54934;55602
57492;58149
59393;60042
62059;62719
64823;65478
66974;67629
68879;69530
71763;72420
74657;75326
76909;77551
79135;79791
82019;82674
84864;85539
86802;87455
89171;89829
92047;92724
94565;95221
96703;97361
99234;99900
1.0183e+05;1.0251e+05
1.0374e+05;1.0441e+05
1.0588e+05;1.0655e+05
