m1a1;t1
475;1077
2074;2675
3642;4239
5164;5758
6733;7333
8345;8940
9929;10528
11485;12074
13058;13650
14615;15206
16177;16769
17777;18380
19422;20025
20995;21588
22582;23176
24180;24777
25810;26411
27426;28019
29015;29610
30559;31166
32081;32676
33563;34157
35054;35645
36617;37212
38241;38839
39849;40446
41398;41989
42957;43549
44528;45125
46162;46761
47799;48398
49420;50021
50967;51564
52479;53072
53935;54525
55370;55958
56802;57396
58232;58828
59632;60224
61039;61627
62474;63064
63938;64531
65522;66116
67185;67778
68872;69469
70575;71180
72131;72730
73666;74262
75187;75781
76699;77294
78222;78812
79764;80356
81327;81922
82919;83513
84550;85149
86160;86758
87767;88364
89269;89862
90830;91425
92368;92965
93946;94541
95492;96090
96979;97576
98515;99103
1.0009e+05;1.0069e+05
1.0179e+05;1.0238e+05
1.035e+05;1.041e+05
1.0523e+05;1.0583e+05
1.0687e+05;1.0747e+05
1.0836e+05;0
