m2a2;t2
432;1103
2531;3211
4883;5560
7784;8464
10234;10922
12218;12897
14204;14884
16467;17148
19448;20127
22069;22747
24322;25003
26450;27125
28605;29274
30454;31132
32254;32922
34129;34805
36333;37014
38867;39558
41300;41978
43565;44242
45755;46428
47839;48516
49826;50494
51781;52454
53570;54236
55321;55985
57069;57734
58868;59535
60720;61386
62642;63313
64702;65379
66862;67536
69044;69718
71213;71880
73493;74181
75736;76423
77689;78369
79470;80143
81236;81899
83031;83699
84864;85535
86979;87649
89451;90119
91936;92613
94322;94999
96651;97328
98798;99469
1.0093e+05;1.016e+05
1.0297e+05;1.0364e+05
1.0482e+05;1.0549e+05
1.0656e+05;1.0723e+05
1.085e+05;1.0917e+05
