m1a1;t1
520;1123
2037;2613
3628;4234
5267;5873
7006;7613
8754;9367
10472;11084
12224;12831
13981;14590
15703;16314
17385;17993
19040;19648
20650;21256
22298;22903
23994;24605
25904;26511
27810;28422
29638;30247
31331;31941
33022;33632
34731;35336
36480;37088
38248;38859
40069;40683
41903;42518
43556;44164
45210;45823
46853;47464
48528;49136
50210;50827
51833;52443
53382;53993
54955;55561
56548;57151
58285;58894
60099;60706
61879;62493
63716;64335
65366;65979
66971;67581
68558;69167
70143;70751
71795;72401
73508;74113
75236;75850
76846;77458
78439;79049
80063;80671
81735;82346
83462;84072
85229;85834
87036;87651
88718;89329
90366;90974
92031;92638
93744;94353
95537;96146
97339;97951
99098;99714
1.0071e+05;1.0132e+05
1.0231e+05;1.0292e+05
1.0391e+05;1.0451e+05
1.0554e+05;1.0615e+05
