m1a1;t1
540;1116
2133;2713
3706;4285
5407;5992
6930;7514
8441;9021
10415;11006
12833;13429
14881;15480
16455;17042
17953;18537
19504;20094
21228;21822
23549;24156
25409;26011
26950;27542
28545;29134
31029;31637
33503;34112
35428;36037
36943;37544
38373;38975
39776;40367
42481;43100
44637;45245
46873;47486
49127;49745
50786;51398
52366;52975
53916;54526
55798;56415
58164;58787
60314;60937
62376;62997
63929;64547
65391;66003
66805;67418
69345;69981
71759;72384
73989;74614
76080;76707
78197;78827
79840;80463
81334;81953
82781;83403
84256;84875
86814;87455
89238;89872
91442;92074
93216;93842
94780;95405
96619;97253
98695;99341
1.0027e+05;1.009e+05
1.0173e+05;1.0236e+05
1.0315e+05;1.0377e+05
1.0479e+05;1.0541e+05
1.0727e+05;1.0792e+05
