m1a1;t1
203;836
2018;2638
3899;4510
5950;6577
7851;8475
9658;10265
11523;12141
13481;14111
15470;16099
17297;17924
19067;19684
20843;21467
22641;23268
24485;25115
26319;26936
28266;28882
30081;30699
31829;32452
33647;34263
35505;36122
37403;38023
39250;39871
40945;41574
42625;43244
44303;44926
46001;46629
47693;48304
49387;50005
51052;51670
52670;53279
54320;54932
56079;56698
58020;58641
59971;60599
61977;62601
63973;64601
65912;66534
67688;68311
69424;70045
71152;71773
72907;73519
74723;75337
76559;77183
78461;79089
80228;80850
81944;82560
83645;84270
85305;85912
86979;87597
88653;89274
90421;91043
92271;92890
94118;94736
95947;96564
97778;98400
99479;1.001e+05
1.0107e+05;1.0169e+05
1.0262e+05;1.0324e+05
1.0415e+05;1.0476e+05
1.0568e+05;1.0629e+05
1.0727e+05;1.0785e+05
