m1a1;t1
486;1097
2187;2796
3951;4568
5655;6265
7311;7920
8913;9521
10489;11090
12094;12702
13674;14286
15204;15810
16753;17363
18376;18988
20154;20759
21949;22565
23844;24456
25702;26318
27544;28160
29261;29882
30869;31481
32431;33048
33945;34554
35457;36062
36995;37596
38612;39218
40239;40838
41836;42445
43368;43972
44960;45575
46543;47160
48074;48682
49601;50208
51132;51736
52730;53331
54398;54998
56155;56756
57847;58461
59511;60112
61195;61807
62879;63480
64555;65167
66107;66713
67615;68227
69118;69721
70617;71220
72202;72808
73987;74597
75823;76431
77615;78223
79435;80048
81248;81853
83012;83625
84861;85476
86524;87142
88106;88715
89676;90281
91247;91849
92862;93470
94602;95206
96398;97007
98163;98771
99898;1.0051e+05
1.0165e+05;1.0225e+05
1.0327e+05;1.0387e+05
1.0479e+05;0
