m1a1;t1
645;1244
2019;2610
3356;3961
4648;5244
5921;6512
7176;7769
8407;9002
9627;10212
10835;11428
12045;12634
13224;13801
14407;15000
15556;16141
16767;17350
17980;18561
19272;19853
20665;21256
22079;22666
23485;24080
24831;25428
26134;26725
27374;27966
28586;29186
29753;30341
30932;31525
32083;32676
33233;33826
34369;34950
35515;36099
36654;37244
37807;38395
38998;39582
40259;40851
41557;42149
42886;43488
44241;44834
45599;46198
46875;47465
48206;48798
49526;50124
50854;51446
52175;52759
53495;54081
54832;55431
56093;56682
57415;58001
58668;59247
59945;60527
61356;61941
63026;63624
64730;65328
66471;67066
68249;68849
69877;70481
71380;71976
72853;73458
74356;74955
75726;76316
77117;77709
78500;79082
79907;80498
81237;81834
82660;83247
84060;84648
85523;86113
87043;87632
88624;89207
90231;90823
91790;92382
93322;93912
94773;95352
96213;96792
97682;98266
