m1a1;t1
596;1205
2240;2846
3957;4566
5639;6245
7374;7983
9002;9604
10695;11295
12431;13036
14241;14848
15983;16593
17678;18287
19384;19988
21118;21720
22827;23438
24426;25027
26076;26683
27755;28359
29431;30040
31052;31658
32666;33270
34348;34954
36105;36712
37958;38567
39695;40300
41488;42096
43336;43942
45159;45768
46871;47479
48531;49134
50207;50810
52023;52630
53851;54462
55580;56190
57418;58027
59290;59898
61121;61728
62873;63482
64706;65313
66545;67159
68345;68954
70151;70757
72028;72638
73973;74588
75688;76300
77477;78085
79374;79992
81209;81819
82988;83595
84949;85559
87045;87661
88920;89534
90938;91555
92970;93586
94939;95552
96711;97320
98621;99237
1.006e+05;1.0121e+05
1.026e+05;1.0322e+05
1.0453e+05;1.0514e+05
1.0663e+05;1.0724e+05
