m1a2;t2
103;819
1698;2475
3306;4041
4896;5621
6494;7216
8084;8803
9668;10388
11249;11978
12818;13547
14378;15095
15956;16666
17525;18259
19088;19797
20640;21355
22207;22927
23761;24485
25321;26047
26883;27596
28435;29150
29985;30691
31560;32302
33123;33858
34685;35431
36262;37002
37845;38561
39404;40134
40947;41658
42520;43224
44094;44810
45649;46373
47200;47927
48771;49483
50352;51072
51935;52663
53496;54222
55066;55785
56651;57391
58217;58928
59770;60486
61336;62062
62916;63639
64498;65218
66052;66781
67630;68340
69195;69922
70747;71468
72307;73032
73869;74600
75435;76180
77000;77718
78559;79279
80122;80864
81696;82429
83265;84002
84844;85555
86414;87143
87978;88717
89539;90280
91101;91807
92673;93419
94236;94945
95801;96521
97361;98078
98922;99650
1.0048e+05;1.0119e+05
1.0205e+05;1.0278e+05
1.0361e+05;1.0432e+05
1.0518e+05;1.0591e+05
1.0675e+05;1.0747e+05
1.0833e+05;1.0907e+05
1.099e+05;0
