m1a2;t2
304;1047
2048;2793
3766;4500
5526;6268
7309;8038
9092;9843
10838;11578
12621;13348
14416;15174
16192;16913
17918;18675
19694;20451
21454;22237
23190;23915
24906;25669
26654;27395
28421;29143
30176;30923
31916;32641
33699;34472
35464;36189
37216;37995
38955;39707
40730;41458
42511;43267
44232;44961
45987;46720
47762;48528
49520;50299
51250;51975
53007;53771
54757;55484
56495;57232
58216;58945
59952;60685
61715;62435
63424;64142
65148;65874
66911;67656
68666;69407
70427;71156
72159;72919
73925;74682
75689;76464
77458;78219
79199;79924
80964;81734
82726;83457
84456;85189
86184;86947
87932;88662
89683;90420
91444;92210
93173;93896
94902;95632
96627;97413
98367;99111
1.0008e+05;1.0083e+05
1.0179e+05;1.0251e+05
1.0352e+05;1.0424e+05
1.0527e+05;1.0602e+05
1.0701e+05;1.0776e+05
1.0873e+05;0
