m1a1;t1
795;1494
2672;3385
4463;5207
6293;7041
8132;8863
10004;10784
11798;12548
13608;14336
15425;16168
17268;17995
19080;19853
20819;21532
22662;23411
24510;25227
26380;27134
28248;28965
30021;30762
31873;32602
33697;34455
35472;36196
37300;38043
39117;39854
40935;41659
42727;43421
44567;45309
46435;47170
48255;48982
50118;50854
52005;52759
53898;54631
55682;56425
57522;58275
59329;60080
61128;61908
62838;63558
64650;65391
66451;67188
68243;69010
69967;70720
71794;72634
73606;74346
75438;76157
77191;77932
79037;79766
80866;81597
82688;83431
84434;85146
86272;87036
88102;88819
89917;90654
91653;92405
93446;94149
95222;95946
97011;97771
98746;99472
1.0051e+05;1.0124e+05
1.0229e+05;1.0301e+05
1.041e+05;1.0487e+05
1.0597e+05;1.0673e+05
1.0783e+05;1.086e+05
