m1a2;t2
1133;1858
3001;3750
4895;5656
6781;7519
8616;9355
10514;11299
12412;13150
14277;15018
16046;16788
17911;18708
19751;20501
21570;22358
23403;24143
25269;26050
27140;27884
28970;29722
30838;31573
32727;33477
34566;35312
36424;37170
38283;39055
40104;40920
41956;42726
43820;44568
45622;46377
47451;48209
49296;50099
51107;51841
52962;53694
54806;55563
56614;57372
58433;59213
60250;60997
61986;62742
63823;64561
65614;66357
67445;68232
69239;70011
71077;71841
72912;73698
74739;75528
76548;77325
78375;79123
80233;80986
82049;82796
83872;84614
85705;86460
87546;88304
89335;90082
91130;91917
92950;93753
94769;95551
96550;97369
98372;99104
1.002e+05;1.0094e+05
1.0205e+05;1.0277e+05
1.0384e+05;1.0458e+05
1.0567e+05;1.0641e+05
1.0751e+05;1.0827e+05
1.0935e+05;1.1014e+05
